game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,depth_best,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,57,black,"Niemann, Hans Moke",h5,1,h5,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,58,white,"Colas, Joshua",b4,3,b3,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,59,black,"Niemann, Hans Moke",h4,1,h4,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,60,white,"Colas, Joshua",Kh2,2,b5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,61,black,"Niemann, Hans Moke",Rf1,1,Rf1,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,62,white,"Colas, Joshua",b5,1,b5,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,63,black,"Niemann, Hans Moke",Rd8,3,Kg7,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,64,white,"Colas, Joshua",Rd7,1,Rd7,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,65,black,"Niemann, Hans Moke",Rxd7,2,Rc8,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,66,white,"Colas, Joshua",Rxd7,1,Rxd7,25,24,25
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,67,black,"Niemann, Hans Moke",Rb1,1,Rb1,21,20,21
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,68,white,"Colas, Joshua",Rd4,1,Rd4,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,69,black,"Niemann, Hans Moke",Rxb5,3,e5,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,70,white,"Colas, Joshua",Rxh4,1,Rxh4,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,71,black,"Niemann, Hans Moke",Kg7,2,Re5,20,20,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,72,white,"Colas, Joshua",Ra4,4,g3,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,73,black,"Niemann, Hans Moke",e5,9,Re5,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,74,white,"Colas, Joshua",Ra6,3,h4,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,75,black,"Niemann, Hans Moke",f6,2,f4,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,76,white,"Colas, Joshua",Kg3,7,h4,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,77,black,"Niemann, Hans Moke",Kg6,2,Rb8,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,78,white,"Colas, Joshua",Ra8,8,h4,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,79,black,"Niemann, Hans Moke",f4+,1,f4+,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,80,white,"Colas, Joshua",Kg4,4,Kf2,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,81,black,"Niemann, Hans Moke",Rb3,1,Rb3,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,82,white,"Colas, Joshua",Kh4,2,Rg8+,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,83,black,"Niemann, Hans Moke",Kf5,3,Re3,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,84,white,"Colas, Joshua",Rg8,1,Rg8,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,85,black,"Niemann, Hans Moke",Rb7,2,Ra3,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,86,white,"Colas, Joshua",g4+,1,g4+,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,87,black,"Niemann, Hans Moke",Ke4,1,Ke4,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,88,white,"Colas, Joshua",Kh5,2,Rh8,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,89,black,"Niemann, Hans Moke",f3,1,f3,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,90,white,"Colas, Joshua",Rf8,3,Rc8,15,14,15
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,91,black,"Niemann, Hans Moke",Rb6,1,Rb6,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,92,white,"Colas, Joshua",g5,9,Rc8,13,12,13
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,93,black,"Niemann, Hans Moke",f2,1,f2,18,17,18
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,0,white,"Niemann, Hans Moke",d4,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,1,black,"Wang, Justin",Nf6,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,2,white,"Niemann, Hans Moke",c4,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,3,black,"Wang, Justin",e6,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,4,white,"Niemann, Hans Moke",Nc3,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,5,black,"Wang, Justin",Bb4,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,6,white,"Niemann, Hans Moke",e3,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,7,black,"Wang, Justin",O-O,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,8,white,"Niemann, Hans Moke",Bd3,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,9,black,"Wang, Justin",d5,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,10,white,"Niemann, Hans Moke",Nf3,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,11,black,"Wang, Justin",b6,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,12,white,"Niemann, Hans Moke",cxd5,B,,,,
130,National Open 2021,2021.06.17,3.5,"Niemann, Hans Moke","Wang, Justin",1/2-1/2,13,black,"Wang, Justin",exd5,B,,,,
